Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,0.8271357730211537,0.7959341565273483,0.7397698209718669,0.7664317594550152,0.8916588329859992
HistGradient Boosting,0.8282656455966355,0.7944507695551339,0.7454816709292412,0.7690120607862614,0.8868316059063144
Random Forest,0.8293955181721173,0.7746450558176752,0.7834185848252344,0.7784965374305288,0.8792132119192821
Logistic Regression,0.8192831586215554,0.7452025969631604,0.8039641943734015,0.773378579589669,0.8746383388544162
Decision Tree,0.8013181846713954,0.7221819001573231,0.7894288150042625,0.7531641026859871,0.8529177589736261
